email,email,email,phone,madid,Name,zip code,country,gender,action,Checkout_time,Price
elizabetho@fb.com,olsene@fb.com,eolsen@fb.com,1-(650)-561-5622,aece52e7-03ee-455a-b3c4-e57283966239,Elizabeth Olsen,94046,US,Female,Checkout,2022-12-23,"$15,00"
andrewj@fb.com,jamisona@fb.com,ajamison@fb.com,1-(212) 736-3100,BEBE52E7-03EE-455A-B3C4-E57283966239,Andrew Jamison,10118,US,Male,Checkout,2022-12-22,"15,00 €"
margaretj@fb.com,johnsonm@fb.com,mjohnson@fb.com,1-(323) 857-6000,adbe52e7-03ee-455a-b3c4-e57283966239,Margaret Johnson,90001-4656,US,Female,Checkout,2022-12-22,"$15,00"
johnd@fb.com,doej@fb.com,jdoe@fb.com,1-(312) 443-3600,AEBE52E7-03EE-455A-B3C4-E57283966239,John Doe,60603,US,Male,Checkout,2022-12-22,"$15,00"
marks@fb.com,smithmark@fb.com,msmith@fb.com,+44 303 123 7300,AEBD52E7-03EE-455A-B3C4-E57283966239,Mark Smith,SW1A 1AA,GB,Male,Checkout,2022-12-22,"10,00 €"
jamesm@fb.com,mclaughlinj@fb.com,jmclaughlin@fb.com,+44 20 7219 4272,aece52e7-03ee-455a-b3c4-e57283966239,James McLaughlin,SW1A 1AA,GB,Male,Checkout,2023-01-07,"10,00 €"
pauloa@fb.com,alessandrop@fb.com,palessandro@fb.com,+55 21 3938-6900,acbe52e7-03ee-455a-b3c4-e57283966239,Paulo Alessandro,01310-200,BR,Male,Checkout,2022-12-21,"10,00 €"
mariel@fb.com,laurentm@fb.com,mlaurent@fb.com,+33 892 70 12 39,AFCE52E7-03EE-455A-B3C4-E57283966239,Marie Laurent,75007,FR,Female,Checkout,2022-12-23,"10,00 €"
thomasd@fb.com,duboist@fb.com,tdubois@fb.com,+33 892 70 12 39,AEBE52E7-03EE-455A-B3C4-E57283966239,Thomas Dubois,75007,FR,Male,Checkout,2022-12-08,"10,00 €"
elizabetho@fb.com,olsene@fb.com,eolsen@fb.com,1-(650)-561-5622,aece52e7-03ee-455a-b3c4-e57283966239,Elizabeth Olsen,94046,US,Female,Checkout,2023-02-02,"$15,00"
